Hash;Pseudonym;DataPointClass;DataType;IsRecommendation;IsEvent;Aperture;Measure;DecimalPlaces;IgnoreEqualValues;ArrayDimensions;ArrayDataType;UserStruct;IsChildOfVariable;NestingLevel;IsUsedByClient
1\Насос\Наработка Н;1\Насос\Наработка Н;Out;REAL;False;False;0;час;3;False;;;;False;0;True
1\Насос\Сброс наработки Н;1\Насос\Сброс наработки Н;InOut;BOOL;False;False;0;;0;False;;;;False;0;True
1\Насос\Вр. обр. связи (КМ);1\Насос\Вр. обр. связи (КМ);InOut;INT;False;False;0;сек;0;False;;;;False;0;True
1\Насос\Дист. пуск Н;1\Насос\Дист. пуск Н;InOut;BOOL;False;False;0;;0;False;;;;False;0;True
1\Насос\Дист. реж. Н;1\Насос\Дист. реж. Н;InOut;BOOL;False;False;0;;0;False;;;;False;0;True
1\Насос\Авт. реж. Н;1\Насос\Авт. реж. Н;Out;BOOL;False;False;0;;0;False;;;;False;0;True
1\Насос\Руч. реж. Н;1\Насос\Руч. реж. Н;Out;BOOL;False;False;0;;0;False;;;;False;0;True
1\Setting_RP\YMIN;1\Setting_RP\YMIN;InOut;REAL;False;False;0;%;1;False;;;;False;0;False
1\Setting_RP\YMAX;1\Setting_RP\YMAX;InOut;REAL;False;False;0;%;1;False;;;;False;0;False
1\Setting_RP\X MIN УП;1\Setting_RP\X MIN УП;InOut;REAL;False;False;0;Ом;1;False;;;;False;0;False
1\Setting_RP\X MAX УП;1\Setting_RP\X MAX УП;InOut;REAL;False;False;0;Ом;1;False;;;;False;0;False
1\Setting_RP\Измеренное сопротивление;1\Setting_RP\Измеренное сопротивление;Out;REAL;False;False;0;Ом;1;False;;;;False;0;False
